,MINE_ID,CAL_YR,PROPOSED_PENALTY,NDL_IR,NFDL_IR,SM,C/100,SS/100,O/100,Risk_Index
0,200152.0,2011.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,4.575595736185202e-05
1,200152.0,2014.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2.357983698937344e-05
2,200840.0,2014.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.178991849468672e-05
3,202286.0,2011.0,0.0,0.0,0.0,0.0,0.19,0.08,0.0,0.00032958405862454636
4,202286.0,2014.0,0.0,0.24,0.09,0.11,0.07,0.01,0.0,0.0008217111483834584
5,202443.0,2011.0,0.01,0.49,0.0,0.0,0.16,0.07,0.08,0.0011855491521444968
6,202443.0,2014.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,8.252942946280704e-05
7,202620.0,2011.0,0.03,0.19,0.08,0.03,0.29,0.24,0.12,0.0014067393565698233
8,202620.0,2014.0,0.01,0.16,0.1,0.09,0.24,0.09,0.0,0.001006103112992076
9,203000.0,2011.0,0.0,0.0,0.17,0.01,0.01,0.0,0.0,0.00033483065883665325
10,203000.0,2014.0,0.0,0.0,0.0,0.0,0.14,0.06,0.05,0.0003291556615126513
11,203232.0,2011.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.00017684877742030078
12,203268.0,2011.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,7.073951096812032e-05
13,203305.0,2014.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.00017684877742030078
14,401299.0,2011.0,0.0,0.0,0.0,0.0,0.27,0.19,0.0,0.0005690698665171008
15,401299.0,2014.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0001296891034415539
16,402459.0,2011.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,8.252942946280704e-05
17,403065.0,2014.0,0.01,0.0,0.0,0.0,0.15,0.05,0.1,0.00043138528050487134
18,403425.0,2011.0,0.0,0.18,0.07,0.11,0.16,0.23,0.06,0.001192324869388829
19,403425.0,2014.0,0.01,0.0,0.0,0.0,0.19,0.07,0.0,0.0003351086619541664
20,403828.0,2011.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,8.252942946280704e-05
21,403828.0,2014.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.00033011771785122816
22,404590.0,2011.0,0.0,0.0,0.0,0.0,0.16,0.12,0.0,0.0003470021067532355
